obj_id,class,n_frames,measured,filled_occlusion,gated,coverage_pct_after_KF,measured_pct,clip
3,orange_ball,1798,1798,0,0,100.0,100.0,IMG_9933_min1
1,robot,1798,1773,25,0,100.0,98.6,IMG_9933_min1
0,robot,1796,1796,0,0,100.0,100.0,IMG_9933_min1
7,robot,427,296,126,5,100.0,69.3,IMG_9933_min1
18,robot,748,728,20,0,100.0,97.3,IMG_9933_min1
11,robot,290,213,77,0,100.0,73.4,IMG_9933_min1
2,robot,84,81,2,1,100.0,96.4,IMG_9933_min1
32,robot,552,552,0,0,100.0,100.0,IMG_9933_min1
35,robot,108,34,74,0,100.0,31.5,IMG_9933_min1
43,robot,33,17,16,0,100.0,51.5,IMG_9933_min1
24,robot,40,27,13,0,100.0,67.5,IMG_9933_min1
10,robot,48,48,0,0,100.0,100.0,IMG_9933_min1
22,robot,211,100,111,0,100.0,47.4,IMG_9933_min1
33,robot,17,16,1,0,100.0,94.1,IMG_9933_min1
25,robot,28,11,17,0,100.0,39.3,IMG_9933_min1
21,robot,9,9,0,0,100.0,100.0,IMG_9933_min1
14,robot,9,4,5,0,100.0,44.4,IMG_9933_min1
44,robot,36,17,19,0,100.0,47.2,IMG_9933_min1
27,robot,20,15,5,0,100.0,75.0,IMG_9933_min1
16,robot,3,3,0,0,100.0,100.0,IMG_9933_min1
45,robot,2,2,0,0,100.0,100.0,IMG_9933_min1
30,robot,1,1,0,0,100.0,100.0,IMG_9933_min1
1,robot,1732,1458,56,218,100.0,84.2,IMG_9938_min1
30,robot,546,318,15,213,100.0,58.2,IMG_9938_min1
47,robot,253,28,14,211,100.0,11.1,IMG_9938_min1
2,robot,1280,1057,81,142,100.0,82.6,IMG_9938_min1
48,robot,170,5,11,154,100.0,2.9,IMG_9938_min1
0,robot,507,431,28,48,100.0,85.0,IMG_9938_min1
28,orange_ball,107,52,3,52,100.0,48.6,IMG_9938_min1
15,orange_ball,69,50,0,19,100.0,72.5,IMG_9938_min1
49,robot,311,309,1,1,100.0,99.4,IMG_9938_min1
52,robot,232,218,13,1,100.0,94.0,IMG_9938_min1
41,orange_ball,199,171,6,22,100.0,85.9,IMG_9938_min1
11,orange_ball,204,194,10,0,100.0,95.1,IMG_9938_min1
51,orange_ball,40,34,0,6,100.0,85.0,IMG_9938_min1
56,orange_ball,74,71,2,1,100.0,95.9,IMG_9938_min1
34,robot,37,6,31,0,100.0,16.2,IMG_9938_min1
40,orange_ball,20,20,0,0,100.0,100.0,IMG_9938_min1
54,orange_ball,90,88,2,0,100.0,97.8,IMG_9938_min1
38,robot,10,5,5,0,100.0,50.0,IMG_9938_min1
21,orange_ball,24,21,3,0,100.0,87.5,IMG_9938_min1
46,orange_ball,7,5,0,2,100.0,71.4,IMG_9938_min1
20,robot,9,3,6,0,100.0,33.3,IMG_9938_min1
36,orange_ball,11,11,0,0,100.0,100.0,IMG_9938_min1
37,robot,3,3,0,0,100.0,100.0,IMG_9938_min1
31,orange_ball,18,17,1,0,100.0,94.4,IMG_9938_min1
50,orange_ball,3,3,0,0,100.0,100.0,IMG_9938_min1
53,orange_ball,4,4,0,0,100.0,100.0,IMG_9938_min1
29,robot,5,5,0,0,100.0,100.0,IMG_9938_min1
55,orange_ball,8,7,1,0,100.0,87.5,IMG_9938_min1
27,orange_ball,3,3,0,0,100.0,100.0,IMG_9938_min1
33,orange_ball,3,3,0,0,100.0,100.0,IMG_9938_min1
8,robot,3,2,1,0,100.0,66.7,IMG_9938_min1
42,robot,4,4,0,0,100.0,100.0,IMG_9938_min1
10,robot,2,2,0,0,100.0,100.0,IMG_9938_min1
24,robot,1,1,0,0,100.0,100.0,IMG_9938_min1
3,robot,858,829,28,1,100.0,96.6,IMG_9933_5m30
1,robot,1342,1338,3,1,100.0,99.7,IMG_9933_5m30
22,robot,769,760,9,0,100.0,98.8,IMG_9933_5m30
0,robot,730,726,4,0,100.0,99.5,IMG_9933_5m30
14,robot,717,715,2,0,100.0,99.7,IMG_9933_5m30
21,robot,273,257,16,0,100.0,94.1,IMG_9933_5m30
30,robot,102,53,49,0,100.0,52.0,IMG_9933_5m30
2,robot,274,269,3,2,100.0,98.2,IMG_9933_5m30
17,orange_ball,141,53,88,0,100.0,37.6,IMG_9933_5m30
33,orange_ball,361,361,0,0,100.0,100.0,IMG_9933_5m30
38,robot,173,131,42,0,100.0,75.7,IMG_9933_5m30
15,orange_ball,161,161,0,0,100.0,100.0,IMG_9933_5m30
20,orange_ball,199,199,0,0,100.0,100.0,IMG_9933_5m30
23,orange_ball,54,51,3,0,100.0,94.4,IMG_9933_5m30
19,orange_ball,47,47,0,0,100.0,100.0,IMG_9933_5m30
35,robot,50,45,5,0,100.0,90.0,IMG_9933_5m30
46,orange_ball,45,45,0,0,100.0,100.0,IMG_9933_5m30
47,robot,39,36,3,0,100.0,92.3,IMG_9933_5m30
27,robot,59,58,1,0,100.0,98.3,IMG_9933_5m30
43,robot,32,28,4,0,100.0,87.5,IMG_9933_5m30
8,orange_ball,40,40,0,0,100.0,100.0,IMG_9933_5m30
11,orange_ball,9,8,0,1,100.0,88.9,IMG_9933_5m30
