sigma_z,sigma_a_ball,sigma_a_robot,NIS_ball,NIS_robot
2.0,400.0,125.0,1.24,4.89
2.0,400.0,250.0,1.24,2.54
2.0,400.0,500.0,1.24,1.59
2.0,800.0,125.0,0.95,4.89
2.0,800.0,250.0,0.95,2.54
2.0,800.0,500.0,0.95,1.59
2.0,1600.0,125.0,0.65,4.89
2.0,1600.0,250.0,0.65,2.54
2.0,1600.0,500.0,0.65,1.59
3.0,400.0,125.0,0.63,3.0
3.0,400.0,250.0,0.63,1.41
3.0,400.0,500.0,0.63,0.83
3.0,800.0,125.0,0.49,3.0
3.0,800.0,250.0,0.49,1.41
3.0,800.0,500.0,0.49,0.83
3.0,1600.0,125.0,0.35,3.0
3.0,1600.0,250.0,0.35,1.41
3.0,1600.0,500.0,0.35,0.83
5.0,400.0,125.0,0.24,1.33
5.0,400.0,250.0,0.24,0.61
5.0,400.0,500.0,0.24,0.37
5.0,800.0,125.0,0.2,1.33
5.0,800.0,250.0,0.2,0.61
5.0,800.0,500.0,0.2,0.37
5.0,1600.0,125.0,0.16,1.33
5.0,1600.0,250.0,0.16,0.61
5.0,1600.0,500.0,0.16,0.37
8.0,400.0,125.0,0.11,0.45
8.0,400.0,250.0,0.11,0.27
8.0,400.0,500.0,0.11,0.18
8.0,800.0,125.0,0.09,0.45
8.0,800.0,250.0,0.09,0.27
8.0,800.0,500.0,0.09,0.18
8.0,1600.0,125.0,0.07,0.45
8.0,1600.0,250.0,0.07,0.27
8.0,1600.0,500.0,0.07,0.18
15.0,400.0,125.0,0.04,0.17
15.0,400.0,250.0,0.04,0.11
15.0,400.0,500.0,0.04,0.07
15.0,800.0,125.0,0.03,0.17
15.0,800.0,250.0,0.03,0.11
15.0,800.0,500.0,0.03,0.07
15.0,1600.0,125.0,0.03,0.17
15.0,1600.0,250.0,0.03,0.11
15.0,1600.0,500.0,0.03,0.07
